id,name,department,University,University_ID,reviews_count,file_location,date_range
825570,Faisal Akkawi,Computer Science,Northwestern University,School-709,32,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-03-29 10:56:37'), Timestamp('2024-12-06 16:39:55'))"
158883,Mark Witte,Economics,Northwestern University,School-709,29,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 13:10:05'), Timestamp('2022-03-31 01:59:31'))"
160049,Michael Bailey,Psychology,Northwestern University,School-709,26,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-06 05:19:38'), Timestamp('2021-04-07 13:18:40'))"
117690,Barry Coddens,Science,Northwestern University,School-709,25,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-02-18 00:56:49'), Timestamp('2013-04-03 21:35:20'))"
158767,Craig Lamay,Journalism,Northwestern University,School-709,22,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-03-20 08:58:28'), Timestamp('2024-05-07 11:48:51'))"
2633746,Theo Khayat,Information Science,Northwestern University,School-709,22,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-02-24 04:04:01'), Timestamp('2024-08-19 21:14:59'))"
474489,Arthur Butz,Engineering,Northwestern University,School-709,21,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-01-15 11:46:46'), Timestamp('2024-06-28 00:02:37'))"
158735,Wendi Gardner,Psychology,Northwestern University,School-709,18,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 11:17:18'), Timestamp('2021-03-22 22:58:27'))"
2045827,Eric Hengstebeck,English,Northwestern University,School-709,18,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-10-07 19:54:53'), Timestamp('2024-11-19 17:13:24'))"
176531,Michael Roloff,Communication,Northwestern University,School-709,16,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-31 18:52:39'), Timestamp('2023-04-09 01:52:48'))"
809504,Chris Hield,Computer Science,Northwestern University,School-709,16,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-02-09 15:20:31'), Timestamp('2017-09-04 11:06:20'))"
1936474,Lorena Martin,Information Science,Northwestern University,School-709,16,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-11-05 17:56:47'), Timestamp('2020-04-10 06:38:08'))"
158906,Charles Moskos,Sociology,Northwestern University,School-709,16,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 13:15:10'), Timestamp('2007-01-18 11:34:38'))"
1662169,Phillip Braun,Finance,Northwestern University,School-709,15,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2011-12-08 16:30:57'), Timestamp('2015-09-04 12:48:55'))"
159823,Arthur Schmidt,Physics,Northwestern University,School-709,15,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-06 16:00:07'), Timestamp('2017-11-08 23:52:38'))"
892709,Sam Tepper,Communication,Northwestern University,School-709,14,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-09-09 00:09:57'), Timestamp('2022-06-29 19:08:41'))"
192784,Jillana Enteen,English,Northwestern University,School-709,13,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-04-21 11:33:38'), Timestamp('2022-10-13 03:13:59'))"
159484,Lane Fenrich,History,Northwestern University,School-709,12,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 18:59:46'), Timestamp('2010-04-12 11:12:07'))"
159980,Michael Peshkin,Engineering,Northwestern University,School-709,12,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-06 02:11:30'), Timestamp('2015-04-16 21:44:22'))"
905107,Adina Ott,Chemistry,Northwestern University,School-709,12,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-10-25 21:14:20'), Timestamp('2012-12-14 07:44:30'))"
2023075,Derek Nelson,Chemistry,Northwestern University,School-709,11,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-07-31 14:36:29'), Timestamp('2022-11-18 11:56:15'))"
150752,Peter Hayes,History,Northwestern University,School-709,11,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-02-26 16:56:00'), Timestamp('2010-02-17 00:19:13'))"
1873113,Owen Priest,Chemistry,Northwestern University,School-709,11,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-01-08 11:41:56'), Timestamp('2022-12-23 07:58:39'))"
827841,Eric Schulz,Economics,Northwestern University,School-709,10,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-12-04 20:00:47'), Timestamp('2024-10-15 02:11:10'))"
2020890,Michael Mulcahy,Music,Northwestern University,School-709,10,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-06-01 12:22:33'), Timestamp('2024-01-17 15:24:53'))"
442062,M. Scott Curtis,Film,Northwestern University,School-709,9,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-08-06 02:01:28'), Timestamp('2013-05-15 18:58:45'))"
2522196,Greg Miller,Psychology,Northwestern University,School-709,9,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2019-10-08 21:42:48'), Timestamp('2020-03-05 23:24:06'))"
2160548,She-e Wu,Music,Northwestern University,School-709,9,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-10-25 09:46:00'), Timestamp('2024-06-28 17:39:52'))"
409900,Jeffrey Sconce,Film,Northwestern University,School-709,9,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-05-16 02:12:28'), Timestamp('2014-02-17 20:05:14'))"
876233,Ithai Stern,Management,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-08-16 01:35:40'), Timestamp('2014-12-24 13:58:00'))"
888911,Larry Trzupek,Chemistry,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-09-09 16:36:55'), Timestamp('2017-08-02 22:24:51'))"
163678,Andy Rivers,Physics,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-11 03:59:17'), Timestamp('2013-12-15 15:35:45'))"
158791,Robert Harris,Music,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 12:08:51'), Timestamp('2012-07-14 19:31:01'))"
477340,John Mordacq,Biology,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-10-22 21:22:07'), Timestamp('2024-10-21 01:16:37'))"
162268,Jeff Rice,History,Northwestern University,School-709,8,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-08 20:41:13'), Timestamp('2022-09-26 21:31:14'))"
159609,Ian Hurd,Political Science,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 20:42:33'), Timestamp('2015-07-16 11:11:13'))"
159835,Edward Gibson,Political Science,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 23:44:59'), Timestamp('2010-05-12 04:30:59'))"
162061,William Murphy,Anthropology,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-08 12:19:47'), Timestamp('2011-06-12 16:27:57'))"
760709,Ed Malthouse,Marketing,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-11-18 12:40:10'), Timestamp('2017-01-30 23:50:13'))"
520876,Gueorgui Derluguian,Sociology,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-12-04 13:02:37'), Timestamp('2012-03-26 19:08:52'))"
2264537,Candice Bradley,Political Science,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2017-06-05 09:54:35'), Timestamp('2024-11-05 04:44:27'))"
1912216,Chad Bhatti,Information Science,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-07-26 23:06:39'), Timestamp('2023-02-22 04:05:20'))"
828164,Mohammad Abdeljaber,Languages,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-03-04 16:04:21'), Timestamp('2011-04-23 12:25:56'))"
165625,Martin Redish,Law,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-13 15:21:14'), Timestamp('2021-12-03 16:14:27'))"
130978,Robert Hasty,Music,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 23:54:58'), Timestamp('2023-09-19 16:16:44'))"
524281,Eli Finkel,Psychology,Northwestern University,School-709,7,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-12-07 14:24:45'), Timestamp('2013-11-16 17:25:58'))"
1882295,Mohyeddin Kassar,Economics,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-06-06 03:23:59'), Timestamp('2015-03-07 11:25:30'))"
162063,. Irons,Anthropology,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-08 12:21:10'), Timestamp('2011-12-04 22:07:03'))"
658462,Lillian Kamal,Economics,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-09-09 00:36:21'), Timestamp('2010-02-02 05:55:05'))"
2060974,Nicole Najor,Biology,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-11-16 14:43:22'), Timestamp('2017-09-18 10:40:53'))"
159339,Martina Bode,Mathematics,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 16:47:15'), Timestamp('2011-06-12 23:26:09'))"
791233,Kayed Akkawi,Computer Science,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-07-24 11:03:39'), Timestamp('2013-10-15 00:59:55'))"
162052,Heather Colburn,Languages,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-08 12:16:25'), Timestamp('2023-08-16 17:57:13'))"
107470,Jorge Nocedal,Engineering,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 13:43:47'), Timestamp('2011-01-05 13:04:03'))"
320692,Rifka Cook,Languages,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-11-29 23:09:52'), Timestamp('2018-03-08 21:14:14'))"
161076,Jeffrey Winters,Political Science,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-06 23:32:10'), Timestamp('2010-06-06 04:07:18'))"
1912218,Donald Wedding,Information Science,Northwestern University,School-709,6,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-07-26 23:16:26'), Timestamp('2021-11-23 20:56:34'))"
286590,Linda Zerilli,Political Science,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-11-14 11:10:51'), Timestamp('2010-01-27 11:38:27'))"
481570,Susan Mineka,Psychology,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-10-28 16:35:14'), Timestamp('2013-02-28 16:40:25'))"
682799,Charles Yarnoff,Writing,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-09-12 02:41:56'), Timestamp('2015-08-27 07:46:45'))"
1785780,Gunther Branham,Computer Science,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-12-20 18:08:28'), Timestamp('2020-07-09 02:02:37'))"
963121,Sorin Maruster,Economics,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-03-05 03:37:31'), Timestamp('2015-06-08 20:30:24'))"
1652403,Jackie Bird,Computer Science,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-01-20 15:21:53'), Timestamp('2020-04-05 08:56:27'))"
455921,Martin Mueller,Classics,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-09-04 23:50:02'), Timestamp('2010-02-09 10:11:54'))"
1971657,Anna Langhorne,Communication,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-12-31 18:02:40'), Timestamp('2015-01-03 13:32:26'))"
1784338,Ken Woo,Computer Science,Northwestern University,School-709,5,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-12-18 13:35:53'), Timestamp('2022-11-07 20:49:29'))"
481571,Dan McAdams,Psychology,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-10-28 16:35:48'), Timestamp('2009-06-29 13:52:48'))"
804216,Will Reno,Political Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-01-25 21:35:03'), Timestamp('2012-03-26 19:05:18'))"
1979884,Daniel Roth,Business,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-01-22 10:59:09'), Timestamp('2018-07-23 14:28:37'))"
2501429,Jahaan Abdullah,Psychology,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2019-10-15 17:24:01'), Timestamp('2020-11-03 14:23:00'))"
2390094,Meital Avivi-Reich,Health Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2018-07-15 21:10:19'), Timestamp('2022-07-15 16:39:00'))"
999622,Elzbieta Foeller-Pituch,Literature,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-06-07 01:13:51'), Timestamp('2021-08-26 15:01:25'))"
1754196,Eula Biss,English,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-10-26 11:13:23'), Timestamp('2017-06-28 12:39:54'))"
992461,Jerry Lassa,Mathematics,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-05-15 21:28:27'), Timestamp('2016-06-21 17:29:08'))"
163136,Charles Whitaker,Journalism,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-10 15:32:00'), Timestamp('2023-03-31 14:13:57'))"
741147,Joseph Walsh,Biology,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-10-29 21:12:18'), Timestamp('2021-01-11 03:24:52'))"
526196,Aryeh Routtenberg,Psychology,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2004-12-08 16:47:34'), Timestamp('2013-04-22 02:01:59'))"
652574,Sonbinh Nguyen,Chemistry,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-08-14 18:33:26'), Timestamp('2014-12-27 21:15:02'))"
1756068,Karl Muth,Economics,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2013-05-31 19:11:27'), Timestamp('2017-04-28 22:00:05'))"
1298993,Ian Horswill,Computer Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2013-02-12 15:39:26'), Timestamp('2021-01-11 00:49:20'))"
638445,Mark Sheldon,Philosophy,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-11-29 18:55:47'), Timestamp('2021-01-05 01:05:41'))"
178801,Nancy Whitaker,Music,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-04-03 12:06:12'), Timestamp('2012-04-26 16:49:32'))"
280903,Tom Meade,Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-11-09 08:15:33'), Timestamp('2024-08-07 21:14:54'))"
1649670,Erich Spengler,Information Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2011-11-20 15:50:42'), Timestamp('2014-09-11 10:05:41'))"
987913,Gerardo Ribeiro,Music,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-05-07 01:45:06'), Timestamp('2018-09-06 21:52:14'))"
2150568,Alianna Maren,Information Science,Northwestern University,School-709,4,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-06-03 19:35:10'), Timestamp('2022-07-22 23:24:21'))"
797834,Michael Wasielewski,Chemistry,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2009-12-08 13:08:50'), Timestamp('2013-03-04 20:00:34'))"
867673,Erinn Mee,Biology,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-07-21 08:36:07'), Timestamp('2007-12-12 09:20:41'))"
1026793,H. David Smith,Psychology,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-09-06 11:39:35'), Timestamp('2016-08-12 08:54:45'))"
1784328,Atef Bader,Computer Science,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2013-02-26 00:47:25'), Timestamp('2015-08-31 18:29:31'))"
1784356,Mark Clare,English,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-12-18 13:42:42'), Timestamp('2017-09-27 14:28:09'))"
158995,Moshe Matalon,Engineering,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2003-03-05 13:47:47'), Timestamp('2018-06-12 03:42:00'))"
356973,Paul Goerss,Mathematics,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-04-16 21:12:35'), Timestamp('2015-04-20 22:32:54'))"
556473,Albert Hunter,Sociology,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-05-09 15:21:59'), Timestamp('2009-11-06 13:18:57'))"
1478167,Sara Broaders,Psychology,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2011-10-22 01:28:36'), Timestamp('2013-05-31 19:03:32'))"
1112264,Brian Uzzi,Management,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2008-11-12 02:32:15'), Timestamp('2013-12-13 20:13:23'))"
556460,Jane Winston,Not Specified,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-02-21 17:39:31'), Timestamp('2012-06-18 21:50:41'))"
1651618,Laura Kipnis,Communication,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2012-06-01 19:53:06'), Timestamp('2017-09-19 03:39:38'))"
2267720,Edward Arroyo,Mathematics,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-12-09 06:09:12'), Timestamp('2022-04-06 18:31:50'))"
2713156,Nethra Sambamoorthi,Mathematics,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-11-12 03:38:35'), Timestamp('2021-12-14 23:09:49'))"
2718977,Randall Berry,Engineering,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-11-10 14:18:23'), Timestamp('2023-01-21 15:27:37'))"
771881,Martin Block,Marketing,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-12-05 18:39:09'), Timestamp('2021-02-18 18:26:19'))"
1806219,Fred Northrup,Chemistry,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2013-04-03 21:38:47'), Timestamp('2022-01-13 10:04:10'))"
919490,Katie Duke,English,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-11-16 05:09:54'), Timestamp('2012-10-21 00:24:23'))"
1820259,Joshua Chambers-Letson,Communication,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2013-07-04 17:19:33'), Timestamp('2017-08-26 17:10:35'))"
2354892,Robert Wallace,Classics,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2018-03-28 16:46:56'), Timestamp('2022-10-11 20:28:40'))"
2037873,William Waas,Computer Science,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-08-31 18:07:15'), Timestamp('2021-03-18 17:17:04'))"
556470,Gary Alan Fine,Sociology,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-02-25 09:19:25'), Timestamp('2017-10-02 16:28:09'))"
1266254,Rachel Mersey,Journalism,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2010-02-19 14:32:46'), Timestamp('2017-12-19 16:19:10'))"
894799,Ken Alder,History,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-03-16 17:09:49'), Timestamp('2011-03-04 11:52:17'))"
494427,Paul Arntson,Communication,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2005-08-22 00:21:47'), Timestamp('2010-01-11 17:57:19'))"
1149888,Shelby Hatch,Chemistry,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2011-05-20 03:30:06'), Timestamp('2017-05-14 22:18:49'))"
813597,Sarit Markovich,Business,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-02-22 15:54:08'), Timestamp('2011-08-23 03:06:11'))"
1533937,Steven Andes,Accounting,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2018-01-12 04:25:50'), Timestamp('2018-11-03 23:51:24'))"
2106310,Eran Tzelgov,Literature,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-01-27 22:01:58'), Timestamp('2020-01-10 12:44:59'))"
2189103,Katheryn DeVelvis,Mathematics,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-11-09 23:10:13'), Timestamp('2023-12-30 20:42:20'))"
892534,John Paluch,Languages,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2006-10-23 01:43:37'), Timestamp('2023-07-27 02:55:28'))"
1906895,Peter Fenves,Literature,Northwestern University,School-709,3,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2022-12-21 20:09:48'), Timestamp('2023-02-12 13:21:41'))"
430533,Galen Bodenhausen,Psychology,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2008-11-11 20:31:58'), Timestamp('2009-09-28 13:19:42'))"
1962545,Charles Pak,Computer Science,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2014-12-13 20:07:50'), Timestamp('2014-12-25 20:16:13'))"
2019062,Susan Piagentini,Music,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2015-05-24 08:57:46'), Timestamp('2016-02-11 21:47:33'))"
672082,John Bushnell,History,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2010-02-17 00:16:41'), Timestamp('2012-03-07 22:03:44'))"
1590913,Jeffrey Gott,Management,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2011-06-14 14:32:55'), Timestamp('2013-05-20 17:55:24'))"
1015783,Joel Colom-Mena,Languages,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2007-08-10 15:00:36'), Timestamp('2014-12-22 16:36:58'))"
2105058,Cosmas Zachos,Physics,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2016-01-24 10:38:31'), Timestamp('2016-01-24 16:08:51'))"
2110365,Greg Beitel,Biology,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2018-12-19 23:09:54'), Timestamp('2020-02-10 20:29:52'))"
2554135,Melvin Ott,Information Science,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2019-12-12 21:47:07'), Timestamp('2022-02-28 00:36:00'))"
959185,Rick Morris,Communication,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2008-04-04 01:25:15'), Timestamp('2018-04-27 15:45:22'))"
2583171,Eddy Borges-Rey,Journalism,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2022-11-04 20:52:17'), Timestamp('2024-03-17 09:41:03'))"
2642685,Sharon Dill,Computer Science,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2020-11-23 22:39:08'), Timestamp('2022-10-11 18:55:45'))"
2678864,Ginger Pennington,Marketing,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-03-22 20:45:17'), Timestamp('2023-03-01 19:25:41'))"
2703999,Dre Stiles,Psychology,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2021-06-08 22:01:01'), Timestamp('2024-06-27 17:13:38'))"
2985260,Carine Nemr,Chemistry,Northwestern University,School-709,2,RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University,"(Timestamp('2024-02-08 19:30:02'), Timestamp('2024-02-09 02:59:56'))"
